4336PRIME,PRIME,INDEX,WHICH
4336AAA49,AAA49,AAA49,MIN
4336AA2AJ,AA2AJ,AAA2J,MAX
4336AA239,AA239,AA239,MIN
4336AA287,AA287,AA278,MIN
4336AA2JA,AA2JA,AAA2J,MAX
4336AA55K,AA55K,AA55K,MIN
4336AA587,AA587,AA578,MIN
4336AA593,AA593,AA359,MIN
4336AA6T7,AA6T7,AA67T,MIN
4336AA82A,AA82A,AAA28,MIN
4336AAJ7J,AAJ7J,AA7JJ,MIN
4336AAQ29,AAQ29,AA29Q,MIN
4336AAQ4K,AAQ4K,AA4QK,MIN
4336A2253,A2253,A2235,MIN
4336A2373,A2373,A2337,MIN
4336A242K,A242K,A224K,MIN
4336A2457,A2457,A2457,MIN
4336A24Q3,A24Q3,A234Q,MIN
4336A2K2K,A2K2K,A22KK,MIN
4336A2K5A,A2K5A,AA25K,MIN
4336A3A77,A3A77,AA377,MIN
4336A3567,A3567,A3567,MIN
4336A3633,A3633,A3336,MIN
4336A3669,A3669,A3669,MIN
4336A37AA,A37AA,AAA37,MAX
4336A485A,A485A,AA458,MIN
4336A566A,A566A,AA566,MIN
4336A6AAA,A6AAA,AAAA6,MAX
4336A6363,A6363,A3366,MIN
4336A8433,A8433,A3348,MIN
4336A848A,A848A,AA488,MIN
4336A9699,A9699,A6999,MIN
4336AJA7J,AJA7J,AA7JJ,MIN
4336AJ229,AJ229,A229J,MIN
4336AJ24K,AJ24K,A24JK,MIN
4336AJ59J,AJ59J,A59JJ,MIN
4336AQAAA,AQAAA,AAAAQ,MAX
4336AQ657,AQ657,A567Q,MIN
4336AQKA7,AQKA7,AA7QK,MIN
4336AQK47,AQK47,A47QK,MIN
4336AKA49,AKA49,AA49K,MIN
4336AKA6A,AKA6A,AAA6K,MIN
4336AKA67,AKA67,AA67K,MIN
4336AK359,AK359,A359K,MIN
4336AK76K,AK76K,A67KK,MIN
4336AK779,AK779,A779K,MIN
4336AK983,AK983,A389K,MIN
4336AKKK9,AKKK9,A9KKK,MIN
43362A3A3,2A3A3,AA233,MIN
433622ATA,22ATA,AA22T,MAX
433622279,22279,22279,MIN
4336222T9,222T9,2229T,MAX
43362246J,2246J,2246J,MIN
433622549,22549,22459,MIN
43362256K,2256K,2256K,MIN
4336225T9,225T9,2259T,MAX
433622669,22669,22669,UNIQUE
433622TT7,22TT7,227TT,UNIQUE
433622KAA,22KAA,AA22K,MAX
433623557,23557,23557,MIN
433623893,23893,23389,MIN
433624229,24229,22249,UNIQUE
43362448A,2448A,A2448,MIN
43362448K,2448K,2448K,MIN
433624799,24799,24799,MIN
433624889,24889,24889,UNIQUE
433624T27,24T27,2247T,MAX
433624T69,24T69,2469T,MIN
433625AAA,25AAA,AAA25,MAX
433625453,25453,23455,MIN
43362556A,2556A,A2556,MIN
43362556K,2556K,2556K,MIN
433625747,25747,24577,MIN
433625867,25867,25678,MIN
433626AJJ,26AJJ,A26JJ,MAX
43362625A,2625A,A2256,MAX
43362688K,2688K,2688K,MIN
433626JAJ,26JAJ,A26JJ,MAX
433626JJA,26JJA,A26JJ,MAX
433627427,27427,22477,MIN
433628579,28579,25789,MIN
433628TTK,28TTK,28TTK,UNIQUE
43362TA2K,2TA2K,A22TK,MAX
43362TTAJ,2TTAJ,A2TTJ,MAX
43362TTJA,2TTJA,A2TTJ,MAX
43362QA6A,2QA6A,AA26Q,MAX
43362Q467,2Q467,2467Q,MIN
43362Q66J,2Q66J,266JQ,MAX
43362Q677,2Q677,2677Q,MIN
43362K223,2K223,2223K,MIN
43362K48K,2K48K,248KK,MIN
43362K727,2K727,2277K,MIN
43363A333,3A333,A3333,MIN
4336323QJ,323QJ,233JQ,MAX
433632443,32443,23344,MIN
433632T2J,32T2J,223TJ,MAX
433632KJJ,32KJJ,23JJK,MAX
433633223,33223,22333,MAX
433633679,33679,33679,MIN
433633Q3A,33Q3A,A333Q,MAX
4336344QJ,344QJ,344JQ,MAX
433634687,34687,34678,MIN
433635569,35569,35569,MIN
433636979,36979,36799,MIN
433636T33,36T33,3336T,MAX
433637747,37747,34777,MIN
433637879,37879,37789,MIN
43363T2T3,3T2T3,233TT,MAX
