9623PRIME,PRIME,INDEX,WHICH
962346997,46997,46799,MIN
962348449,48449,44489,MIN
96234T477,4T477,4477T,MIN
96234J443,4J443,3444J,MIN
96234QAAJ,4QAAJ,AA4JQ,MAX
96234QAJA,4QAJA,AA4JQ,MAX
96234Q44J,4Q44J,444JQ,MIN
96234Q48A,4Q48A,A448Q,MIN
96234QTQ3,4QTQ3,34TQQ,MAX
96234QJAA,4QJAA,AA4JQ,MAX
96234QQA3,4QQA3,A34QQ,MIN
96234K44K,4K44K,444KK,MIN
96235A3QJ,5A3QJ,A35JQ,MAX
96235AQTA,5AQTA,AA5TQ,MAX
9623522QJ,522QJ,225JQ,MAX
96235244J,5244J,2445J,MAX
962352883,52883,23588,MIN
962352Q67,52Q67,2567Q,MAX
962352K2K,52K2K,225KK,MAX
9623532JJ,532JJ,235JJ,MAX
962353657,53657,35567,MIN
962353T23,53T23,2335T,MAX
9623542AJ,542AJ,A245J,MAX
9623542JA,542JA,A245J,MAX
9623544A3,544A3,A3445,MAX
9623544T9,544T9,4459T,MAX
96235452A,5452A,A2455,MAX
962354TQA,54TQA,A45TQ,MAX
962355787,55787,55778,MIN
96235656K,5656K,5566K,MAX
962356663,56663,35666,MIN
962357287,57287,25778,MIN
9623575Q3,575Q3,3557Q,MAX
962358889,58889,58889,MIN
962359T4K,59T4K,459TK,MAX
96235TA5J,5TA5J,A55TJ,MAX
96235T8TJ,5T8TJ,58TTJ,MAX
96235TT6K,5TT6K,56TTK,MAX
96235J2TA,5J2TA,A25TJ,MAX
96235Q2QA,5Q2QA,A25QQ,MAX
96235Q429,5Q429,2459Q,MAX
96235Q4KA,5Q4KA,A45QK,MAX
96235Q9Q9,5Q9Q9,599QQ,MAX
96235QQTJ,5QQTJ,5TJQQ,MAX
96235K2AJ,5K2AJ,A25JK,MAX
96235K2JA,5K2JA,A25JK,MAX
96235KQAA,5KQAA,AA5QK,MAX
96236A667,6A667,A6667,MIN
96236223K,6223K,2236K,MAX
962362627,62627,22667,MAX
962363TK3,63TK3,336TK,MAX
9623642AK,642AK,A246K,MAX
9623642J3,642J3,2346J,MAX
9623645KA,645KA,A456K,MAX
962364KAJ,64KAJ,A46JK,MAX
962364K2K,64K2K,246KK,MAX
962364KJA,64KJA,A46JK,MAX
962365AAA,65AAA,AAA56,MAX
962365A4A,65A4A,AA456,MAX
962365267,65267,25667,MAX
9623652JJ,652JJ,256JJ,MAX
9623653AJ,653AJ,A356J,MAX
9623653JA,653JA,A356J,MAX
9623655QA,655QA,A556Q,MAX
962365777,65777,56777,MIN
962365Q2K,65Q2K,256QK,MAX
96236622A,6622A,A2266,MAX
9623664QA,664QA,A466Q,MAX
962366533,66533,33566,MAX
962366863,66863,36668,MAX
962366TK3,66TK3,366TK,MAX
9623676QK,676QK,667QK,MAX
962368669,68669,66689,UNIQUE
962368699,68699,66899,MIN
962368777,68777,67778,MIN
96236966J,6966J,6669J,MAX
9623696J9,696J9,6699J,MAX
962369899,69899,68999,MIN
962369929,69929,26999,MIN
962369Q9J,69Q9J,699JQ,MAX
96236T559,6T559,5569T,MAX
96236QTJJ,6QTJJ,6TJJQ,MAX
96236QQTA,6QQTA,A6TQQ,MAX
96236K5TK,6K5TK,56TKK,MAX
9623723AK,723AK,A237K,MAX
96237276K,7276K,2677K,MAX
962373AJK,73AJK,A37JK,MAX
9623737KJ,737KJ,377JK,MAX
962373877,73877,37778,MIN
962373JAK,73JAK,A37JK,MAX
962373JQJ,73JQJ,37JJQ,MAX
9623742Q7,742Q7,2477Q,MAX
962374T4K,74T4K,447TK,MAX
962374QQ3,74QQ3,347QQ,MAX
96237552A,7552A,A2557,MAX
962375QTA,75QTA,A57TQ,MAX
962376343,76343,33467,MAX
96237663A,7663A,A3667,MAX
962376757,76757,56777,MAX
962376J53,76J53,3567J,MAX
962376QQ7,76QQ7,677QQ,MAX
9623772Q7,772Q7,2777Q,MAX
9623773TJ,773TJ,377TJ,MAX
9623774T7,774T7,4777T,MAX
962377TAA,77TAA,AA77T,MAX
96237T44A,7T44A,A447T,MAX
96237T4T7,7T4T7,477TT,MAX
96237T777,7T777,7777T,MAX
96237TT3J,7TT3J,37TTJ,MAX
96237Q75K,7Q75K,577QK,MAX
96237QT2A,7QT2A,A27TQ,MAX
96237QQ5J,7QQ5J,57JQQ,MAX
96237K6TJ,7K6TJ,67TJK,MAX
96238AA3A,8AA3A,AAA38,MAX
96238A55A,8A55A,AA558,MAX
96238ATT3,8ATT3,A38TT,MAX
962382JTK,82JTK,28TJK,MAX
9623832JJ,832JJ,238JJ,MAX
9623832QK,832QK,238QK,MAX
96238362A,8362A,A2368,MAX
9623838A3,838A3,A3388,MAX
962383TKK,83TKK,38TKK,MAX
962384A3A,84A3A,AA348,MAX
962384AJJ,84AJJ,A48JJ,MAX
9623843K7,843K7,3478K,MAX
962384443,84443,34448,MAX
9623844QA,844QA,A448Q,MAX
962384JAJ,84JAJ,A48JJ,MAX
962384JJA,84JJA,A48JJ,MAX
962384JJK,84JJK,48JJK,MAX
962385427,85427,24578,MAX
96238542K,8542K,2458K,MAX
9623856QK,856QK,568QK,MAX
962385733,85733,33578,MAX
96238575A,8575A,A5578,MAX
962386AKA,86AKA,AA68K,MAX
96238644A,8644A,A4468,UNIQUE
96238652J,8652J,2568J,MAX
9623865T3,865T3,3568T,MAX
96238686K,8686K,6688K,MAX
962386T59,86T59,5689T,MAX
962386J3A,86J3A,A368J,MAX
9623873KK,873KK,378KK,MAX
962387443,87443,34478,MAX
9623874T3,874T3,3478T,MAX
9623874QA,874QA,A478Q,MAX
962387623,87623,23678,MAX
96238764A,8764A,A4678,MAX
962387683,87683,36788,MAX
96238773K,8773K,3778K,MAX
962387743,87743,34778,MAX
962387Q6J,87Q6J,678JQ,MAX
962388A7J,88A7J,A788J,MAX
962388337,88337,33788,MAX
9623884Q9,884Q9,4889Q,MAX
962388523,88523,23588,MAX
9623888AA,888AA,AA888,UNIQUE
96238938A,8938A,A3889,MAX
96238T66J,8T66J,668TJ,MAX
96238TJTJ,8TJTJ,8TTJJ,MAX
96238K4QK,8K4QK,48QKK,MAX
96239A6T3,9A6T3,A369T,MAX
96239222J,9222J,2229J,MAX
9623926Q9,926Q9,2699Q,MAX
962392KTA,92KTA,A29TK,MAX
9623933QJ,933QJ,339JQ,MAX
962393683,93683,33689,MAX
96239376K,9376K,3679K,MAX
962393QKA,93QKA,A39QK,MAX
9623942AK,942AK,A249K,MAX
962394229,94229,22499,MAX
96239433A,9433A,A3349,MAX
962394649,94649,44699,MAX
962394949,94949,44999,MAX
962394K2K,94K2K,249KK,MAX
962395ATA,95ATA,AA59T,MAX
9623953AJ,953AJ,A359J,MAX
962395393,95393,33599,MAX
9623953JA,953JA,A359J,MAX
96239547A,9547A,A4579,MAX
96239553A,9553A,A3559,MAX
9623957T7,957T7,5779T,MAX
9623959TJ,959TJ,599TJ,MAX
962395TKK,95TKK,59TKK,MAX
962395Q99,95Q99,5999Q,MAX
962396263,96263,23669,MAX
962396269,96269,26699,MAX
962396353,96353,33569,MAX
962396443,96443,34469,MAX
96239649K,9649K,4699K,MAX
962396527,96527,25679,MAX
96239654J,9654J,4569J,MAX
962396557,96557,55679,MAX
9623966KK,966KK,669KK,MAX
962396959,96959,56999,MAX
962396TT9,96TT9,699TT,UNIQUE
96239745K,9745K,4579K,MAX
9623974Q3,974Q3,3479Q,MAX
9623976A3,976A3,A3679,MAX
962397T5A,97T5A,A579T,MAX
962397J4A,97J4A,A479J,MAX
962397J53,97J53,3579J,MAX
962397KJ7,97KJ7,779JK,MAX
962398573,98573,35789,MAX
962398597,98597,57899,MAX
962398663,98663,36689,MAX
96239877K,9877K,7789K,MAX
9623988T9,988T9,8899T,MAX
962398T4K,98T4K,489TK,MAX
962398T77,98T77,7789T,MAX
962398TTK,98TTK,89TTK,MAX
962398K6J,98K6J,689JK,MAX
962399A3A,99A3A,AA399,MAX
962399A3K,99A3K,A399K,MAX
96239925K,9925K,2599K,MAX
962399377,99377,37799,MAX
962399497,99497,47999,MAX
962399527,99527,25799,MAX
96239955A,9955A,A5599,MAX
9623996AA,996AA,AA699,MAX
96239982K,9982K,2899K,MAX
96239985K,9985K,5899K,MAX
9623998J7,998J7,7899J,MAX
962399923,99923,23999,MAX
96239996J,9996J,6999J,MAX
962399T43,99T43,3499T,MAX
962399KA3,99KA3,A399K,MAX
96239T3K9,9T3K9,399TK,MAX
96239T62J,9T62J,269TJ,MAX
96239T6QK,9T6QK,69TQK,MAX
96239JTKK,9JTKK,9TJKK,MAX
96239Q869,9Q869,6899Q,MAX
96239QQ4A,9QQ4A,A49QQ,MAX
96239QQ9J,9QQ9J,99JQQ,MAX
96239QKK9,9QKK9,99QKK,MAX
96239K2KK,9K2KK,29KKK,MAX
96239K799,9K799,7999K,MAX
9623TAA83,TAA83,AA38T,MIN
9623TA2K3,TA2K3,A23TK,MIN
9623TA333,TA333,A333T,MIN
9623TA483,TA483,A348T,MIN
9623TA489,TA489,A489T,MIN
9623TA693,TA693,A369T,MIN
9623TA837,TA837,A378T,MIN
9623TATJ9,TATJ9,A9TTJ,MIN
9623TAJQA,TAJQA,AATJQ,MIN
9623TAQ5K,TAQ5K,A5TQK,MIN
9623TAQQ9,TAQQ9,A9TQQ,MIN
9623TAQKJ,TAQKJ,ATJQK,MIN
9623T2233,T2233,2233T,MIN
9623T22Q3,T22Q3,223TQ,MIN
9623T245J,T245J,245TJ,MIN
9623T2563,T2563,2356T,MIN
9623T25TJ,T25TJ,25TTJ,MIN
9623T282K,T282K,228TK,UNIQUE
9623T2J27,T2J27,227TJ,MIN
9623T3643,T3643,3346T,MIN
9623T366K,T366K,366TK,MIN
9623T3769,T3769,3679T,MIN
9623T3K57,T3K57,357TK,MIN
9623T42T9,T42T9,249TT,MIN
9623T4369,T4369,3469T,MIN
9623T4459,T4459,4459T,MIN
9623T48Q7,T48Q7,478TQ,MIN
9623T48K9,T48K9,489TK,MIN
9623T4J49,T4J49,449TJ,MIN
9623T5227,T5227,2257T,MIN
9623T5TJJ,T5TJJ,5TTJJ,MAX
9623T5J4J,T5J4J,45TJJ,MIN
9623T6487,T6487,4678T,MIN
9623T665J,T665J,566TJ,MIN
9623T6J6J,T6J6J,66TJJ,MIN
9623T6Q6A,T6Q6A,A66TQ,MIN
9623T77A7,T77A7,A777T,MIN
9623T7KK7,T7KK7,77TKK,MIN
9623T8233,T8233,2338T,MIN
9623T888A,T888A,A888T,MIN
9623T8K6K,T8K6K,68TKK,MIN
9623TT26K,TT26K,26TTK,MIN
9623TT297,TT297,279TT,MIN
9623TT549,TT549,459TT,MIN
9623TT6AJ,TT6AJ,A6TTJ,MIN
9623TT6JA,TT6JA,A6TTJ,MIN
9623TT83K,TT83K,38TTK,MIN
9623TT86A,TT86A,A68TT,MIN
9623TTJT9,TTJT9,9TTTJ,MIN
9623TTJJJ,TTJJJ,TTJJJ,UNIQUE
9623TTQ27,TTQ27,27TTQ,MIN
9623TTK4A,TTK4A,A4TTK,MIN
9623TTK53,TTK53,35TTK,MIN
9623TJAQA,TJAQA,AATJQ,MIN
9623TJ25K,TJ25K,25TJK,MIN
9623TJ42J,TJ42J,24TJJ,MIN
9623TJ599,TJ599,599TJ,MIN
9623TJ64A,TJ64A,A46TJ,MIN
9623TJ749,TJ749,479TJ,MIN
9623TJJ2A,TJJ2A,A2TJJ,MIN
9623TQ433,TQ433,334TQ,MIN
9623TQ78K,TQ78K,78TQK,MIN
9623TK2K9,TK2K9,29TKK,MIN
9623TK687,TK687,678TK,MIN
9623TK6Q9,TK6Q9,69TQK,MIN
9623TK6KJ,TK6KJ,6TJKK,MIN
9623TK7J9,TK7J9,79TJK,MIN
9623TK8QK,TK8QK,8TQKK,MIN
9623TKK23,TKK23,23TKK,MIN
9623JAA49,JAA49,AA49J,MIN
9623JA2Q9,JA2Q9,A29JQ,MIN
9623JA3K7,JA3K7,A37JK,MIN
9623JA52A,JA52A,AA25J,MIN
9623JA539,JA539,A359J,MIN
9623JA78J,JA78J,A78JJ,MIN
9623JA82A,JA82A,AA28J,MIN
9623JAJ57,JAJ57,A57JJ,MIN
9623JAJ69,JAJ69,A69JJ,MIN
9623JAJ8A,JAJ8A,AA8JJ,UNIQUE
9623JAQ47,JAQ47,A47JQ,MIN
9623JAQ59,JAQ59,A59JQ,MIN
9623JAK9K,JAK9K,A9JKK,MIN
9623J22K7,J22K7,227JK,MIN
9623J2397,J2397,2379J,MIN
9623J248A,J248A,A248J,MIN
9623J2787,J2787,2778J,MIN
9623J2JQJ,J2JQJ,2JJJQ,MIN
9623J2K69,J2K69,269JK,MIN
9623J34K7,J34K7,347JK,MIN
9623J356K,J356K,356JK,MIN
9623J3933,J3933,3339J,MIN
9623J4467,J4467,4467J,MIN
9623J5547,J5547,4557J,MIN
9623J5589,J5589,5589J,MIN
9623J5757,J5757,5577J,MIN
9623J6387,J6387,3678J,MIN
9623J6483,J6483,3468J,MIN
9623J6639,J6639,3669J,MIN
9623J6663,J6663,3666J,UNIQUE
9623J6969,J6969,6699J,MIN
9623J8457,J8457,4578J,MIN
9623J9489,J9489,4899J,MIN
9623JT7Q7,JT7Q7,77TJQ,MAX
9623JJA57,JJA57,A57JJ,MIN
9623JJA69,JJA69,A69JJ,MIN
9623JJA8A,JJA8A,AA8JJ,UNIQUE
9623JJ247,JJ247,247JJ,MIN
9623JJ259,JJ259,259JJ,MIN
9623JJ4TJ,JJ4TJ,4TJJJ,MIN
9623JJ4Q3,JJ4Q3,34JJQ,MIN
9623JJ577,JJ577,577JJ,MIN
9623JJ84K,JJ84K,48JJK,MIN
9623JJ89J,JJ89J,89JJJ,MIN
9623JJ967,JJ967,679JJ,MIN
9623JQA29,JQA29,A29JQ,MIN
9623JQ25J,JQ25J,25JJQ,MIN
9623JQ3Q9,JQ3Q9,39JQQ,MIN
9623JQ477,JQ477,477JQ,MIN
9623JQ56K,JQ56K,56JQK,MIN
9623JQ777,JQ777,777JQ,MIN
9623JQJ9K,JQJ9K,9JJQK,MIN
9623JQK89,JQK89,89JQK,MIN
9623JKA37,JKA37,A37JK,MIN
9623JKA49,JKA49,A49JK,MIN
9623JKJ63,JKJ63,36JJK,MIN
9623QA883,QA883,A388Q,MIN
9623Q2279,Q2279,2279Q,MIN
9623Q2387,Q2387,2378Q,MIN
9623Q2477,Q2477,2477Q,MIN
9623Q24TK,Q24TK,24TQK,MIN
9623Q262K,Q262K,226QK,MIN
9623Q2753,Q2753,2357Q,MIN
9623Q2KKK,Q2KKK,2QKKK,MIN
9623Q3863,Q3863,3368Q,MIN
9623Q4Q5J,Q4Q5J,45JQQ,MIN
9623Q5387,Q5387,3578Q,MIN
9623Q568K,Q568K,568QK,MIN
9623Q58K3,Q58K3,358QK,MIN
9623Q6683,Q6683,3668Q,MIN
9623Q6T6K,Q6T6K,66TQK,MIN
9623Q6Q89,Q6Q89,689QQ,UNIQUE
9623Q8549,Q8549,4589Q,MIN
9623Q8Q8A,Q8Q8A,A88QQ,UNIQUE
9623Q9449,Q9449,4499Q,MIN
9623QT5QJ,QT5QJ,5TJQQ,MIN
9623QJQ87,QJQ87,78JQQ,MIN
9623QQ22A,QQ22A,A22QQ,MIN
9623QQ28K,QQ28K,28QQK,MIN
9623QQ43K,QQ43K,34QQK,MIN
9623QQ479,QQ479,479QQ,MIN
9623QK45A,QK45A,A45QK,MIN
9623KA447,KA447,A447K,MIN
9623K228K,K228K,228KK,MIN
9623K2887,K2887,2788K,MIN
9623K2989,K2989,2899K,MIN
9623K3349,K3349,3349K,MIN
9623K366K,K366K,366KK,MIN
9623K3697,K3697,3679K,MIN
9623K3K5K,K3K5K,35KKK,MIN
9623K4489,K4489,4489K,MIN
9623K4999,K4999,4999K,MIN
9623K588K,K588K,588KK,MIN
9623K7567,K7567,5677K,MIN
9623K9A99,K9A99,A999K,MIN
9623K98KK,K98KK,89KKK,MIN
9623KJ55K,KJ55K,55JKK,MIN
9623KK237,KK237,237KK,MIN
9623KK56K,KK56K,56KKK,MIN
9623KK8K3,KK8K3,38KKK,MIN
