9623PRIME,PRIME,INDEX,WHICH
9623AAAA7,AAAA7,AAAA7,MIN
9623AA26A,AA26A,AAA26,MIN
9623AA549,AA549,AA459,MIN
9623AAJ49,AAJ49,AA49J,MIN
9623AAQQ9,AAQQ9,AA9QQ,MIN
9623AAKK7,AAKK7,AA7KK,MIN
9623A2227,A2227,A2227,MIN
9623A2347,A2347,A2347,MIN
9623A264A,A264A,AA246,MIN
9623A2647,A2647,A2467,MIN
9623A267A,A267A,AA267,MIN
9623A4447,A4447,A4447,MIN
9623A4669,A4669,A4669,MIN
9623A5359,A5359,A3559,MIN
9623A5527,A5527,A2557,MIN
9623A558A,A558A,AA558,MIN
9623A588A,A588A,AA588,UNIQUE
9623A636A,A636A,AA366,MIN
9623A666A,A666A,AA666,MIN
9623A666K,A666K,A666K,MIN
9623A6673,A6673,A3667,MIN
9623A7669,A7669,A6679,MIN
9623A7J6A,A7J6A,AA67J,UNIQUE
9623A8233,A8233,A2338,MIN
9623A845J,A845J,A458J,MIN
9623A88KJ,A88KJ,A88JK,MIN
9623AJA49,AJA49,AA49J,MIN
9623AJ2Q9,AJ2Q9,A29JQ,MIN
9623AJ3K7,AJ3K7,A37JK,MIN
9623AJ52A,AJ52A,AA25J,MIN
9623AJ539,AJ539,A359J,MIN
9623AJ78J,AJ78J,A78JJ,MIN
9623AJ82A,AJ82A,AA28J,MIN
9623AJJ57,AJJ57,A57JJ,MIN
9623AJJ69,AJJ69,A69JJ,MIN
9623AJJ8A,AJJ8A,AA8JJ,UNIQUE
9623AJQ47,AJQ47,A47JQ,MIN
9623AJQ59,AJQ59,A59JQ,MIN
9623AJK9K,AJK9K,A9JKK,MIN
9623AQ2K7,AQ2K7,A27QK,MIN
9623AQ397,AQ397,A379Q,MIN
9623AQ3Q7,AQ3Q7,A37QQ,MIN
9623AQ48A,AQ48A,AA48Q,MIN
9623AQ787,AQ787,A778Q,MIN
9623AQQ97,AQQ97,A79QQ,MIN
9623AQK69,AQK69,A69QK,MIN
9623AKA89,AKA89,AA89K,MIN
9623AK4K7,AK4K7,A47KK,MIN
9623AK56K,AK56K,A56KK,MIN
9623AK933,AK933,A339K,MIN
9623AKTTK,AKTTK,ATTKK,MAX
96232248A,2248A,A2248,MIN
96232248K,2248K,2248K,MIN
9623228A7,228A7,A2278,MIN
96232286J,2286J,2268J,MIN
962322T2A,22T2A,A222T,UNIQUE
962322Q6A,22Q6A,A226Q,MIN
962322QQK,22QQK,22QQK,UNIQUE
962323333,23333,23333,UNIQUE
962323339,23339,23339,MIN
962323459,23459,23459,MIN
962324677,24677,24677,MIN
96232485A,2485A,A2458,MIN
962325229,25229,22259,MAX
9623255TK,255TK,255TK,MAX
962325667,25667,25667,MIN
962326ATA,26ATA,AA26T,MAX
96232625J,2625J,2256J,MAX
962326399,26399,23699,MIN
962326669,26669,26669,MIN
962328229,28229,22289,UNIQUE
962329429,29429,22499,MIN
96232T263,2T263,2236T,MIN
96232T827,2T827,2278T,MIN
96232T869,2T869,2689T,MIN
96232TTQ7,2TTQ7,27TTQ,MAX
96232K449,2K449,2449K,MIN
96232K659,2K659,2569K,MIN
96233AAAJ,3AAAJ,AAA3J,MAX
96233AAJA,3AAJA,AAA3J,MAX
96233AJAA,3AJAA,AAA3J,MAX
96233AQQ7,3AQQ7,A37QQ,MAX
96233232A,3232A,A2233,MAX
9623323Q3,323Q3,2333Q,MAX
962332Q2A,32Q2A,A223Q,MAX
962332KTA,32KTA,A23TK,MAX
962333479,33479,33479,MIN
962333599,33599,33599,MIN
962333JQ3,33JQ3,333JQ,MAX
962334679,34679,34679,MIN
962335597,35597,35579,MIN
962335879,35879,35789,MIN
96233636J,3636J,3366J,UNIQUE
962336887,36887,36788,MIN
962337889,37889,37889,MIN
96233882J,3882J,2388J,UNIQUE
96233T2TK,3T2TK,23TTK,MAX
96233TQJJ,3TQJJ,3TJJQ,MAX
96233TQK3,3TQK3,33TQK,MAX
96233JAAA,3JAAA,AAA3J,MAX
962342AQA,42AQA,AA24Q,MAX
962342257,42257,22457,MAX
9623422TJ,422TJ,224TJ,MAX
96234246A,4246A,A2446,MIN
962342TT9,42TT9,249TT,MAX
96234348K,4348K,3448K,MIN
962344657,44657,44567,MIN
962344777,44777,44777,MIN
962344T4A,44T4A,A444T,UNIQUE
9623453KK,453KK,345KK,MAX
962345557,45557,45557,MIN
962345569,45569,45569,MIN
962345779,45779,45779,MIN
962345869,45869,45689,MIN
962345887,45887,45788,MIN
