9121310137,9QKTK7,79,T1,,Q1,K2
9121291211,9QQ9QJ,99,,J1,Q3,
9121281011,9QQ8TJ,89,T1,J1,Q2,
9121261211,9QQ6QJ,69,,J1,Q3,
9121261111,9QQ6JJ,69,,J2,Q2,
9121251313,9QQ5KK,59,,,Q2,K2
9121221211,9QQ2QJ,29,,J1,Q3,
9121212913,9QQQ9K,99,,,Q3,K1
9121212811,9QQQ8J,89,,J1,Q3,
9121212613,9QQQ6K,69,,,Q3,K1
9121210513,9QQT5K,59,T1,,Q2,K1
9121210121,9QQTQ1,19,T1,,Q3,
9121210103,9QQTT3,39,T2,,Q2,
9121191011,9QJ9TJ,99,T1,J2,Q1,
9121121213,9Q1QQK,19,,,Q3,K1
9121112101,9QJQT1,19,T1,J1,Q2,
9121110107,9QJTT7,79,T2,J1,Q1,
9121041211,9QT4QJ,49,T1,J1,Q2,
9121021111,9QT2JJ,29,T1,J2,Q1,
9121011103,9QTJT3,39,T2,J1,Q1,
9121010813,9QTT8K,89,T2,,Q1,K1
9121010413,9QTT4K,49,T2,,Q1,K1
9119111011,9J9JTJ,99,T1,J3,,
9118111111,9J8JJJ,89,,J4,,
9115121111,9J5QJJ,59,,J3,Q1,
9115101011,9J5TTJ,59,T2,J2,,
9114131111,9J4KJJ,49,,J3,,K1
9112121111,9J2QJJ,29,,J3,Q1,
9112121111,91QQJJ,19,,J2,Q2,
9111351113,9JK5JK,59,,J2,,K2
9111321113,9JK2JK,29,,J2,,K2
9111313213,9JKK2K,29,,J1,,K3
9111310111,9JKTJ1,19,T1,J2,,K1
9111121111,9J1QJJ,19,,J3,Q1,
9111113813,9JJK8K,89,,J2,,K2
9111111127,9JJJQ7,79,,J3,Q1,
9111011111,9JTJJ1,19,T1,J3,,
9111010913,9JTT9K,99,T2,J1,,K1
9110121011,91TQTJ,19,T2,J1,Q1,
9110101213,91TTQK,19,T2,,Q1,K1
9106101211,9T6TQJ,69,T2,J1,Q1,
9104131013,9T4KTK,49,T2,,,K2
9103131013,9T3KTK,39,T2,,,K2
9102101011,9T2TTJ,29,T3,J1,,
9101331313,9TK3KK,39,T1,,,K3
9101212613,9TQQ6K,69,T1,,Q2,K1
9101041013,9TT4TK,49,T3,,,K1
9101031013,9TT3TK,39,T3,,,K1
9101011109,9TTJT9,99,T3,J1,,
9101010109,9TTTT9,99,T4,,,
9101010103,9TTTT3,39,T4,,,
